基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
009489,0.0444849734358891,0.0444849734358891,0.0444849734358891,0.0444849734358891,0.0444849734358891,0.2438,0.0111,491.0,491.0,269.0,417.0
009488,0.0444111382819279,0.0444111382819279,0.0444111382819279,0.0444111382819279,0.0444111382819279,0.2475,0.0113,493.0,493.0,283.0,423.0
011444,0.0401621223286661,0.0401621223286661,0.0401621223286661,0.0401621223286661,0.0401621223286661,0.1872,0.0119,571.0,571.0,129.0,423.6666666666667
011445,0.0402916821159312,0.0402916821159312,0.0402916821159312,0.0402916821159312,0.0402916821159312,0.1916,0.0121,569.0,569.0,136.0,424.6666666666667
002335,0.046165828789917,0.046165828789917,0.046165828789917,0.046165828789917,0.046165828789917,0.2628,0.005,460.0,460.0,358.0,426.0
004403,0.06047283284944,0.06047283284944,0.06047283284944,0.06047283284944,0.06047283284944,0.3476,0.0104,192.0,192.0,926.0,436.6666666666667
070003,0.0407970582389187,0.0407970582389187,0.0407970582389187,0.0407970582389187,0.0407970582389187,0.2159,0.0057,559.0,559.0,192.0,436.6666666666667
007308,0.063762102351314,0.063762102351314,0.063762102351314,0.063762102351314,0.063762102351314,0.3596,0.0112,146.0,146.0,1027.0,439.6666666666667
002334,0.045925722523512,0.045925722523512,0.045925722523512,0.045925722523512,0.045925722523512,0.2768,0.0051,461.0,461.0,414.5,445.5
005347,0.0725093814308196,0.0725093814308196,0.0725093814308196,0.0725093814308196,0.0725093814308196,0.3779,0.0132,68.0,68.0,1201.0,445.6666666666667
006603,0.0606653620352252,0.0606653620352252,0.0606653620352252,0.0606653620352252,0.0606653620352252,0.3532,0.0154,187.0,187.0,979.5,451.1666666666667
011412,0.0664595688600207,0.0664595688600207,0.0664595688600207,0.0664595688600207,0.0664595688600207,0.3686,0.0161,119.0,119.0,1117.5,451.8333333333333
010687,0.0506079526782779,0.0506079526782779,0.0506079526782779,0.0506079526782779,0.0506079526782779,0.3107,0.011,363.0,363.0,630.0,452.0
004404,0.060750912567356,0.060750912567356,0.060750912567356,0.060750912567356,0.060750912567356,0.354,0.0103,185.0,185.0,988.5,452.8333333333333
008555,0.0646644492271571,0.0646644492271571,0.0646644492271571,0.0646644492271571,0.0646644492271571,0.3655,0.0121,136.0,136.0,1087.5,453.1666666666667
011709,0.0485658071864967,0.0485658071864967,0.0485658071864967,0.0485658071864967,0.0485658071864967,0.2994,0.0121,405.0,405.0,555.5,455.1666666666667
011708,0.0482051282051282,0.0482051282051282,0.0482051282051282,0.0482051282051282,0.0482051282051282,0.2979,0.012,415.0,415.0,546.5,458.8333333333333
007381,0.0697524393194097,0.0697524393194097,0.0697524393194097,0.0697524393194097,0.0697524393194097,0.3786,0.0088,82.0,82.0,1213.0,459.0
009576,0.0733217088055798,0.0733217088055798,0.0733217088055798,0.0733217088055798,0.0733217088055798,0.3838,0.0121,60.0,60.0,1268.0,462.6666666666667
008166,0.0664878933669848,0.0664878933669848,0.0664878933669848,0.0664878933669848,0.0664878933669848,0.3733,0.0121,118.0,118.0,1154.5,463.5
007382,0.0697674418604652,0.0697674418604652,0.0697674418604652,0.0697674418604652,0.0697674418604652,0.38,0.0088,81.0,81.0,1229.5,463.8333333333333
